race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
Black,2,27.0,2.4,NE,-1.66,0.566071428571,0.0
White,2,30.0,3.5,GL,1.39,0.708333333333,1.0
White,2,38.0,3.5,FW,2.78,0.808333333333,1.0
White,1,34.0,2.8,GL,-0.63,0.691666666667,1.0
White,2,37.0,3.7,GL,1.32,0.8148809523810001,1.0
Hispanic,1,36.0,2.7,NE,-1.28,0.7071428571430001,1.0
White,2,43.0,3.0,NE,0.1,0.823214285714,1.0
White,2,42.0,2.9,NE,-0.62,0.8011904761900001,1.0
White,2,33.5,3.4,MS,0.69,0.74255952381,1.0
White,2,25.0,2.9,NE,-0.9,0.5886904761899999,1.0
White,1,38.0,3.4,NG,1.23,0.7988095238099999,1.0
White,2,42.0,3.6,NE,0.7,0.8678571428569999,1.0
White,2,37.0,3.5,NE,-1.64,0.795833333333,1.0
White,2,29.5,3.5,NE,-0.24,0.702083333333,1.0
White,2,41.0,3.1,NE,-0.05,0.807738095238,1.0
White,1,38.0,3.6,NE,-1.0,0.817857142857,1.0
White,1,42.0,3.2,MS,-0.22,0.829761904762,1.0
White,1,35.5,3.3,MS,2.26,0.758035714286,1.0
White,1,36.0,3.6,NE,-0.85,0.7928571428569999,1.0
White,1,39.0,3.5,NE,-0.71,0.8208333333329999,1.0
White,2,28.0,2.9,NE,-1.96,0.6261904761899999,0.0
White,1,42.0,3.3,NE,-1.13,0.839285714286,1.0
White,1,43.0,3.5,NE,0.74,0.870833333333,1.0
White,2,43.0,3.1,NE,0.29,0.832738095238,1.0
White,2,35.0,3.2,NE,-0.66,0.742261904762,1.0
White,2,40.0,3.7,NE,-0.43,0.8523809523810001,1.0
White,1,42.0,2.5,MS,-0.41,0.7630952380949999,1.0
White,1,42.0,2.7,NE,-0.02,0.782142857143,1.0
White,1,40.0,3.7,NE,0.21,0.8523809523810001,1.0
White,1,38.0,3.5,NE,1.61,0.808333333333,1.0
White,2,40.0,3.3,NE,-0.96,0.8142857142859999,1.0
White,1,39.0,3.5,SC,0.98,0.8208333333329999,1.0
White,1,36.0,3.6,NE,-0.58,0.7928571428569999,1.0
White,1,38.0,3.6,NE,-0.28,0.817857142857,1.0
White,2,36.0,3.0,NE,-1.19,0.735714285714,1.0
White,2,39.0,3.2,MS,-1.34,0.792261904762,1.0
White,1,37.0,3.9,NE,0.55,0.833928571429,1.0
White,2,31.5,2.7,MS,0.58,0.6508928571429999,1.0
White,1,41.0,4.0,NE,2.44,0.893452380952,1.0
White,2,41.0,3.0,NE,-1.45,0.798214285714,1.0
White,1,36.0,3.3,NE,1.04,0.764285714286,1.0
White,2,35.0,3.8,NE,-1.11,0.7994047619050001,1.0
White,1,39.0,3.7,NE,-1.58,0.839880952381,1.0
White,1,37.0,3.8,NE,0.4,0.824404761905,1.0
White,2,37.0,3.1,GL,-0.51,0.757738095238,1.0
White,2,36.0,3.8,MS,-0.66,0.811904761905,0.0
White,2,40.0,3.3,NE,-0.77,0.8142857142859999,1.0
White,1,45.0,3.3,NE,0.64,0.8767857142859999,1.0
White,2,35.0,2.6,NE,0.02,0.6851190476189999,1.0
White,1,37.0,3.6,NE,-0.02,0.8053571428569999,1.0
White,2,40.0,3.8,NE,0.64,0.8619047619050001,1.0
White,2,39.0,3.4,NE,0.4,0.81130952381,1.0
White,2,33.0,3.9,NE,0.59,0.7839285714290001,1.0
White,2,40.0,3.6,NE,0.55,0.842857142857,1.0
White,2,38.0,3.8,NE,0.55,0.8369047619050001,1.0
White,1,41.0,3.3,NE,0.64,0.826785714286,1.0
White,2,34.0,2.9,MS,-0.25,0.7011904761900001,1.0
White,2,40.0,3.1,NE,1.08,0.795238095238,1.0
Asian,1,38.0,3.3,NE,-0.02,0.789285714286,1.0
White,1,40.0,3.2,NE,1.89,0.804761904762,1.0
White,2,32.5,3.4,NE,-0.17,0.7300595238099999,1.0
White,1,41.0,3.4,NE,0.17,0.83630952381,1.0
White,1,37.0,3.5,NE,-0.13,0.795833333333,1.0
White,2,41.0,3.3,NE,1.51,0.826785714286,1.0
White,1,39.0,3.6,NE,-0.66,0.8303571428569999,1.0
White,2,38.0,3.5,MS,0.42,0.808333333333,1.0
White,2,42.0,3.1,NG,0.68,0.820238095238,1.0
White,1,37.0,3.6,NE,1.27,0.8053571428569999,1.0
Black,1,32.0,2.8,NE,-1.28,0.666666666667,1.0
White,1,39.0,3.6,NE,-0.22,0.8303571428569999,1.0
White,1,32.0,2.8,NG,-1.09,0.666666666667,1.0
White,2,41.0,3.1,NE,-0.51,0.807738095238,1.0
White,1,36.0,3.7,NE,0.17,0.802380952381,1.0
White,2,38.0,3.4,NE,-1.19,0.7988095238099999,1.0
White,2,34.0,3.3,MS,1.02,0.739285714286,1.0
White,2,38.0,3.6,NE,0.36,0.817857142857,1.0
White,2,43.0,2.9,NG,0.59,0.81369047619,1.0
White,1,35.0,3.7,NE,0.64,0.7898809523810001,1.0
Asian,2,37.0,3.6,NE,-0.77,0.8053571428569999,1.0
White,1,37.0,3.9,NE,1.36,0.833928571429,1.0
White,2,40.0,3.2,NE,0.59,0.804761904762,1.0
White,1,45.0,3.2,NE,1.57,0.867261904762,1.0
White,2,39.5,3.3,NE,0.55,0.808035714286,1.0
White,2,40.0,3.3,NE,2.15,0.8142857142859999,1.0
White,1,38.0,3.4,NE,-1.0,0.7988095238099999,1.0
White,2,40.0,3.4,NE,1.36,0.8238095238099999,1.0
Mexican,1,32.5,2.8,NE,-0.92,0.672916666667,1.0
White,2,36.0,3.7,NE,0.1,0.802380952381,1.0
White,1,30.0,3.5,NE,-1.75,0.708333333333,1.0
White,2,37.0,3.7,NE,0.74,0.8148809523810001,1.0
Other,1,35.5,3.0,SE,-1.73,0.729464285714,1.0
Asian,1,31.0,3.4,MS,-0.23,0.71130952381,1.0
White,2,36.0,2.7,SE,-0.36,0.7071428571430001,1.0
White,1,35.0,2.9,SC,1.25,0.71369047619,1.0
White,1,28.5,3.2,SE,0.57,0.661011904762,1.0
White,2,39.0,2.4,MS,0.16,0.7160714285709999,1.0
White,1,41.0,3.9,SE,1.17,0.883928571429,1.0
White,2,29.0,3.5,SE,0.2,0.6958333333329999,1.0
White,2,36.5,3.1,SE,-0.56,0.751488095238,1.0
White,2,39.0,3.8,MS,-0.32,0.849404761905,1.0
White,2,36.0,3.0,MS,0.36,0.735714285714,1.0
White,2,36.0,2.9,SE,-0.8,0.72619047619,1.0
White,2,36.0,2.9,SE,0.89,0.72619047619,1.0
White,2,37.0,2.8,SE,0.77,0.729166666667,1.0
White,2,38.0,3.2,SE,0.48,0.779761904762,1.0
White,2,31.5,3.1,SE,0.36,0.688988095238,1.0
White,2,37.0,3.1,SE,0.0,0.757738095238,1.0
White,2,26.7,3.3,SE,-0.41,0.6480357142859999,1.0
Black,1,32.0,3.7,SE,-0.85,0.7523809523810001,1.0
White,1,31.0,3.0,SE,0.44,0.673214285714,1.0
White,1,32.7,3.1,MS,0.2,0.703988095238,1.0
White,2,35.0,3.2,SE,-0.28,0.742261904762,1.0
White,1,31.0,3.2,SE,2.48,0.692261904762,1.0
White,2,33.0,3.0,MS,-0.4,0.698214285714,1.0
White,1,33.0,3.1,SE,0.61,0.707738095238,1.0
White,2,34.5,2.9,SE,0.52,0.7074404761900001,1.0
White,1,39.0,4.1,SE,1.25,0.8779761904760001,1.0
White,2,34.0,3.1,SE,-0.6,0.720238095238,1.0
White,2,34.0,2.8,SE,1.51,0.691666666667,1.0
White,1,37.0,2.8,MS,-0.23,0.729166666667,1.0
White,1,25.0,3.2,SE,-0.64,0.617261904762,1.0
White,2,33.0,2.9,SE,0.69,0.68869047619,1.0
Hispanic,1,29.0,3.1,SE,-1.45,0.657738095238,1.0
White,1,34.0,3.0,SE,-0.24,0.710714285714,0.0
White,1,34.0,2.7,SE,1.51,0.682142857143,1.0
White,1,30.5,3.0,SE,-1.09,0.666964285714,1.0
White,1,33.0,3.3,SE,0.89,0.726785714286,1.0
White,2,34.0,2.9,MS,-1.93,0.7011904761900001,0.0
White,1,30.0,3.4,SE,0.73,0.6988095238099999,1.0
White,1,38.0,2.4,SE,-0.2,0.703571428571,1.0
White,2,32.5,3.1,SE,0.93,0.701488095238,1.0
White,1,40.0,4.0,SE,1.17,0.880952380952,1.0
White,1,42.0,4.0,SE,0.97,0.905952380952,1.0
White,1,35.0,3.2,SE,0.27,0.742261904762,1.0
White,1,29.0,3.4,SE,-0.52,0.68630952381,1.0
White,2,35.0,2.9,SE,-0.4,0.71369047619,1.0
White,1,32.0,3.1,MS,-1.17,0.695238095238,1.0
White,2,27.0,2.3,SE,-1.01,0.556547619048,1.0
White,1,38.0,3.0,MS,0.55,0.760714285714,1.0
White,2,31.0,2.7,MS,-0.2,0.644642857143,0.0
White,1,38.0,3.0,SE,0.15,0.760714285714,1.0
White,1,28.5,3.9,SE,0.48,0.727678571429,1.0
White,2,34.0,2.6,SE,0.0,0.6726190476189999,1.0
White,1,31.0,3.0,SE,0.0,0.673214285714,1.0
White,2,33.0,2.9,GL,-0.2,0.68869047619,1.0
White,1,35.0,2.7,SE,-1.05,0.6946428571430001,1.0
White,1,32.5,2.8,SE,0.08,0.672916666667,1.0
White,1,36.0,2.6,SE,-0.72,0.697619047619,0.0
White,2,37.0,3.4,MS,0.95,0.78630952381,1.0
White,1,33.0,3.2,SE,-0.4,0.717261904762,1.0
White,1,37.0,2.9,SE,0.24,0.7386904761900001,1.0
White,2,25.5,2.8,SE,-0.08,0.585416666667,1.0
White,2,38.0,2.6,SE,1.25,0.722619047619,1.0
White,2,34.0,2.7,SE,-0.12,0.682142857143,1.0
White,2,35.0,2.9,SE,1.94,0.71369047619,1.0
White,2,29.5,2.8,SE,0.24,0.635416666667,1.0
White,1,41.0,3.0,SE,0.2,0.798214285714,1.0
White,2,35.0,3.2,SE,-1.13,0.742261904762,1.0
White,2,34.0,2.9,SE,-2.06,0.7011904761900001,1.0
White,2,42.0,2.6,SE,1.57,0.7726190476189999,1.0
White,2,30.5,3.1,SE,0.87,0.676488095238,1.0
White,2,41.0,2.5,SE,0.9,0.750595238095,1.0
White,2,31.5,3.5,SE,0.2,0.7270833333329999,1.0
White,1,35.0,3.7,SE,0.44,0.7898809523810001,1.0
White,2,31.0,3.3,SE,0.85,0.701785714286,1.0
White,2,39.0,3.1,MS,1.19,0.782738095238,1.0
White,2,39.0,2.9,FW,0.98,0.7636904761900001,1.0
White,1,40.0,2.6,SE,0.16,0.7476190476189999,1.0
White,2,40.0,3.8,SE,1.85,0.8619047619050001,1.0
White,2,33.0,3.2,SE,-0.24,0.717261904762,1.0
White,2,32.0,3.3,SE,0.36,0.714285714286,1.0
White,2,39.0,3.3,SE,0.72,0.801785714286,1.0
White,1,39.0,2.7,SE,0.44,0.744642857143,1.0
White,2,33.0,3.3,MS,0.24,0.726785714286,1.0
White,2,38.0,3.7,GL,0.11,0.8273809523810001,1.0
White,1,40.0,3.6,GL,-0.09,0.842857142857,1.0
White,2,38.0,3.4,GL,-0.51,0.7988095238099999,0.0
White,2,33.0,3.0,GL,-0.82,0.698214285714,1.0
White,2,40.0,3.2,GL,1.73,0.804761904762,1.0
Other,2,42.0,3.3,GL,1.22,0.839285714286,1.0
Black,2,29.0,2.8,GL,-1.89,0.6291666666669999,0.0
White,1,33.0,3.5,GL,0.05,0.745833333333,1.0
White,2,40.0,3.4,GL,-1.06,0.8238095238099999,1.0
White,2,36.0,3.1,MS,0.53,0.745238095238,1.0
Black,1,25.0,2.8,MS,-2.22,0.579166666667,0.0
White,2,39.0,3.6,SE,0.18,0.8303571428569999,1.0
White,1,41.0,3.7,GL,0.9,0.864880952381,1.0
White,1,36.0,3.9,GL,-0.12,0.821428571429,1.0
White,2,44.0,3.2,GL,0.75,0.854761904762,1.0
White,1,42.0,3.5,MS,-1.17,0.858333333333,1.0
White,2,46.0,3.3,GL,-2.08,0.889285714286,0.0
White,2,40.0,2.2,MS,1.04,0.709523809524,1.0
White,1,41.0,3.8,GL,1.16,0.874404761905,1.0
Other,1,41.0,3.4,GL,0.5,0.83630952381,1.0
Other,2,32.0,2.8,MS,-1.13,0.666666666667,0.0
White,2,37.0,3.4,MS,-1.02,0.78630952381,1.0
White,1,40.0,3.5,GL,-0.12,0.833333333333,1.0
White,1,36.0,3.7,GL,0.77,0.802380952381,1.0
White,1,42.0,3.5,MS,0.83,0.858333333333,1.0
White,2,35.5,2.9,MS,0.06,0.71994047619,1.0
White,1,37.0,3.9,MS,0.37,0.833928571429,1.0
White,1,48.0,2.3,GL,0.8,0.8190476190479999,1.0
White,1,37.0,3.1,NE,0.14,0.757738095238,1.0
White,1,35.0,3.9,GL,0.14,0.8089285714290001,1.0
Asian,2,33.5,3.2,GL,0.14,0.723511904762,1.0
White,1,47.0,3.9,Mt,-0.2,0.958928571429,1.0
White,1,41.0,2.8,MW,0.33,0.7791666666670001,1.0
White,1,40.0,3.5,GL,0.65,0.833333333333,1.0
White,2,44.0,3.4,GL,-0.33,0.87380952381,1.0
White,2,38.0,3.0,MS,-0.02,0.760714285714,1.0
White,2,39.0,3.6,GL,0.51,0.8303571428569999,1.0
Black,1,28.0,3.4,MS,-2.37,0.6738095238099999,0.0
White,2,46.0,2.5,GL,-0.27,0.813095238095,1.0
White,2,42.0,3.0,GL,-0.4,0.8107142857140001,1.0
Hispanic,2,34.0,2.8,FW,-0.26,0.691666666667,0.0
White,2,34.0,3.7,GL,-0.96,0.777380952381,1.0
White,2,38.0,3.3,GL,0.39,0.789285714286,1.0
White,1,33.0,3.9,MS,0.46,0.7839285714290001,1.0
White,2,38.0,3.3,GL,-0.13,0.789285714286,1.0
White,2,34.0,3.9,GL,-0.23,0.796428571429,1.0
White,2,37.0,3.7,MS,0.68,0.8148809523810001,1.0
Asian,2,40.0,2.8,NE,0.4,0.766666666667,1.0
White,2,45.0,3.2,GL,0.43,0.867261904762,1.0
White,2,41.0,3.2,GL,-0.28,0.817261904762,1.0
White,2,36.0,3.7,GL,0.89,0.802380952381,1.0
White,2,45.0,3.5,GL,-0.21,0.895833333333,1.0
Hispanic,2,38.0,3.4,SE,1.02,0.7988095238099999,1.0
White,1,44.0,4.1,GL,1.7,0.9404761904760001,1.0
White,2,41.0,3.5,GL,-0.1,0.8458333333329999,1.0
White,2,39.5,3.5,GL,-0.52,0.827083333333,1.0
White,1,41.0,3.4,GL,0.24,0.83630952381,1.0
White,1,44.0,3.6,GL,1.62,0.8928571428569999,1.0
White,2,40.5,3.3,FW,1.95,0.820535714286,1.0
White,1,42.0,3.6,GL,1.65,0.8678571428569999,1.0
White,2,40.0,2.0,MS,1.2,0.6904761904760001,1.0
White,1,45.0,3.4,GL,1.87,0.8863095238099999,1.0
White,1,40.0,3.8,GL,0.3,0.8619047619050001,1.0
White,1,36.0,3.7,GL,0.05,0.802380952381,1.0
White,1,34.0,3.2,GL,-0.55,0.729761904762,1.0
White,1,37.0,3.5,Mt,-1.17,0.795833333333,1.0
Black,1,23.0,2.8,GL,-2.23,0.554166666667,0.0
White,2,38.0,3.4,GL,-0.3,0.7988095238099999,1.0
White,2,40.0,3.5,NE,-0.06,0.833333333333,1.0
White,1,39.0,3.4,GL,0.57,0.81130952381,1.0
White,2,40.0,3.2,GL,0.82,0.804761904762,1.0
White,2,33.0,2.9,MS,0.19,0.68869047619,1.0
White,2,38.0,3.8,GL,1.16,0.8369047619050001,1.0
White,2,43.0,3.8,GL,1.14,0.8994047619050001,1.0
White,1,38.0,3.5,NE,0.48,0.808333333333,1.0
White,1,35.0,3.3,NE,-0.26,0.7517857142859999,1.0
White,1,39.0,3.3,MS,1.16,0.801785714286,1.0
White,1,40.0,3.8,NE,2.25,0.8619047619050001,1.0
White,1,33.0,3.3,SE,0.6,0.726785714286,1.0
White,2,37.0,3.2,MS,1.91,0.767261904762,1.0
Asian,2,35.0,2.8,NE,0.96,0.704166666667,1.0
White,2,30.0,2.6,NE,-0.26,0.622619047619,1.0
White,1,38.0,3.2,NE,0.56,0.779761904762,1.0
Puertorican,1,31.0,3.7,NE,0.8,0.739880952381,1.0
White,1,40.0,3.0,MS,1.45,0.785714285714,1.0
White,2,34.0,3.7,NE,0.43,0.777380952381,1.0
White,1,42.0,3.9,NE,0.5,0.896428571429,1.0
White,2,35.5,2.8,NE,1.78,0.7104166666670001,1.0
White,2,32.5,2.7,MS,1.02,0.663392857143,1.0
White,1,30.0,3.0,MS,-0.33,0.660714285714,0.0
Hispanic,2,37.0,2.5,MS,0.23,0.7005952380949999,1.0
White,1,35.0,3.7,NE,0.0,0.7898809523810001,1.0
White,1,35.0,3.5,NE,0.6,0.770833333333,1.0
White,1,37.0,3.4,NG,0.63,0.78630952381,1.0
Black,2,28.0,2.7,NE,-0.59,0.607142857143,1.0
Hispanic,1,30.0,2.9,SE,-0.99,0.6511904761899999,0.0
White,1,38.0,3.0,NE,0.92,0.760714285714,1.0
White,1,33.0,2.7,MS,-0.24,0.669642857143,1.0
White,1,47.0,2.9,NG,0.56,0.8636904761900001,1.0
White,2,38.0,2.8,NG,-0.79,0.7416666666670001,0.0
Puertorican,2,34.0,2.8,NE,-0.86,0.691666666667,1.0
Amerindian,1,34.0,3.1,NG,-0.56,0.720238095238,1.0
White,2,34.0,3.4,NE,-0.43,0.74880952381,1.0
Black,1,29.0,2.5,MS,-2.01,0.600595238095,0.0
White,2,40.0,3.2,NE,-0.36,0.804761904762,1.0
White,2,30.0,2.7,NE,0.06,0.632142857143,1.0
Asian,2,26.0,2.5,FW,-0.5,0.5630952380950001,0.0
White,2,33.0,3.8,MS,1.58,0.7744047619050001,1.0
White,2,36.0,2.3,NE,1.65,0.669047619048,1.0
White,2,35.0,2.9,MS,-0.13,0.71369047619,1.0
White,1,30.0,2.9,NE,-0.43,0.6511904761899999,0.0
White,2,27.0,2.7,NE,-0.72,0.594642857143,1.0
White,2,38.0,3.2,MS,0.63,0.779761904762,1.0
White,2,28.5,2.1,NE,-1.88,0.55625,0.0
White,1,37.0,3.3,NE,-0.13,0.776785714286,1.0
White,2,39.0,2.4,NE,-0.1,0.7160714285709999,1.0
White,2,41.0,2.4,MS,1.61,0.741071428571,1.0
Hispanic,2,33.0,2.3,NE,0.99,0.6315476190479999,1.0
White,2,45.0,2.6,NE,-1.05,0.8101190476189999,0.0
White,2,33.0,3.4,NE,-0.03,0.7363095238099999,1.0
Hispanic,2,27.0,3.6,SE,-0.1,0.6803571428569999,1.0
White,1,40.0,3.7,Mt,1.75,0.8523809523810001,1.0
White,1,36.0,3.1,MS,-0.43,0.745238095238,1.0
White,1,36.0,3.2,MS,1.29,0.754761904762,1.0
Asian,2,20.0,3.2,NE,-1.87,0.554761904762,0.0
White,2,36.0,3.8,NE,-0.99,0.811904761905,1.0
White,2,36.0,3.3,MS,-0.12,0.764285714286,1.0
White,1,42.0,3.4,GL,0.99,0.84880952381,1.0
White,2,40.0,3.6,NE,0.73,0.842857142857,1.0
Puertorican,2,26.0,3.6,NE,-1.15,0.667857142857,0.0
White,2,37.0,3.8,NE,0.6,0.824404761905,1.0
White,2,45.0,3.6,NE,1.35,0.905357142857,1.0
Asian,2,23.0,3.2,NE,-0.1,0.592261904762,1.0
White,2,30.5,2.4,FW,-0.89,0.6098214285710001,0.0
White,1,38.0,3.0,NE,-0.69,0.760714285714,1.0
Black,1,25.0,2.5,NE,-0.89,0.550595238095,1.0
White,1,35.0,3.0,MS,0.68,0.723214285714,1.0
Black,1,20.0,3.0,NE,-1.02,0.535714285714,0.0
Asian,1,28.0,2.8,MS,-1.38,0.616666666667,0.0
White,2,38.0,3.2,GL,0.07,0.779761904762,1.0
Puertorican,1,20.5,2.8,NE,-1.19,0.522916666667,1.0
White,2,44.0,3.0,NE,1.45,0.835714285714,1.0
White,2,29.0,2.9,MS,1.16,0.63869047619,1.0
White,2,45.0,2.6,MS,-0.03,0.8101190476189999,0.0
White,2,36.0,2.8,NE,-1.19,0.7166666666670001,1.0
Black,1,21.0,3.0,NE,-1.32,0.548214285714,1.0
Asian,2,28.0,2.2,NE,-0.79,0.5595238095239999,1.0
White,2,35.0,3.3,MS,0.9,0.7517857142859999,1.0
White,2,36.0,3.1,MS,-0.59,0.745238095238,1.0
White,2,37.0,3.4,NE,0.43,0.78630952381,1.0
Puertorican,1,29.0,3.2,NE,-0.89,0.667261904762,1.0
White,2,33.0,3.4,FW,1.62,0.7363095238099999,1.0
White,2,36.0,3.2,NE,0.27,0.754761904762,1.0
White,1,42.0,3.4,NG,0.92,0.84880952381,1.0
Asian,2,29.5,2.7,MS,-1.38,0.625892857143,1.0
Asian,2,27.0,3.1,NE,-1.68,0.632738095238,1.0
White,2,37.0,3.3,NE,0.03,0.776785714286,1.0
Puertorican,1,22.0,3.3,NE,-0.76,0.589285714286,1.0
White,1,33.0,3.3,NE,0.2,0.726785714286,1.0
Other,2,27.0,3.3,NE,-0.03,0.651785714286,0.0
Asian,2,28.0,3.3,NE,-1.32,0.664285714286,1.0
White,1,35.0,3.1,MS,-0.14,0.732738095238,1.0
White,2,28.0,3.7,Mt,0.0,0.7023809523810001,1.0
Asian,2,34.0,2.6,NE,-0.3,0.6726190476189999,1.0
White,1,22.5,3.3,NE,-1.45,0.5955357142859999,0.0
White,2,41.0,3.6,FW,0.05,0.8553571428569999,1.0
Mexican,2,33.0,3.1,FW,-0.24,0.707738095238,1.0
White,2,40.0,3.0,FW,-0.1,0.785714285714,1.0
White,2,40.5,3.5,FW,0.58,0.839583333333,1.0
White,1,40.0,3.7,FW,-0.43,0.8523809523810001,1.0
Black,1,28.0,3.3,FW,1.37,0.664285714286,0.0
White,1,41.0,2.4,MS,-0.59,0.741071428571,1.0
White,2,47.0,2.8,FW,-0.14,0.854166666667,1.0
White,2,38.0,2.5,FW,-1.69,0.713095238095,0.0
White,1,26.3,3.4,FW,-1.73,0.65255952381,0.0
White,1,43.0,3.3,FW,0.87,0.851785714286,1.0
White,1,34.0,3.4,NG,-1.36,0.74880952381,1.0
White,2,40.0,3.6,FW,-0.08,0.842857142857,1.0
White,1,37.0,3.4,FW,-0.51,0.78630952381,1.0
White,2,35.0,2.8,Mt,-0.96,0.704166666667,1.0
Asian,1,44.0,3.7,FW,0.34,0.902380952381,1.0
White,2,38.0,2.4,MS,1.38,0.703571428571,1.0
White,2,44.0,3.6,FW,1.88,0.8928571428569999,1.0
Other,1,32.0,3.9,FW,0.13,0.771428571429,1.0
White,2,43.0,4.0,Mt,0.87,0.918452380952,1.0
White,1,42.0,3.4,FW,0.67,0.84880952381,1.0
White,2,46.0,3.0,FW,0.27,0.860714285714,1.0
White,1,43.0,3.5,FW,0.58,0.870833333333,1.0
White,2,43.0,3.0,FW,0.54,0.823214285714,1.0
White,2,41.0,3.7,FW,0.75,0.864880952381,1.0
White,1,42.0,3.9,FW,-1.21,0.896428571429,1.0
White,2,28.0,2.8,MS,-0.76,0.616666666667,1.0
Amerindian,2,27.5,3.5,FW,-1.54,0.677083333333,0.0
White,2,46.0,3.3,FW,-0.76,0.889285714286,1.0
White,2,45.0,3.5,FW,0.87,0.895833333333,1.0
White,2,42.0,3.7,FW,1.92,0.8773809523810001,1.0
