age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35.0, Local-gov,145497.8, Masters,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
37.0, Private,99415.1, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Local-gov,224609.69, Assoc-voc,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
63.325092, Private,181325.58, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
60.0, Private,180552.36, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
46.0, Private,107838.18, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
26.0, State-gov,67394.91, HS-grad,9.0, Divorced, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, State-gov,210975.66, Doctorate,14.0, Married-civ-spouse, Adm-clerical, Husband, White, Female,99999.0,0.0,40.0, United-States, >50K
44.0, Private,1490400.0, Bachelors,16.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
28.0, Private,213123.08, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
39.0, Private,178382.16, HS-grad,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
41.0, Private,53492.594, HS-grad,5.0, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,30.0, United-States, <=50K
36.0, Local-gov,199340.84, HS-grad,9.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, Haiti, <=50K
22.0, Private,207611.08, HS-grad,9.0, Divorced, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
26.0, Private,216957.89, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
45.0, Private,206078.84, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
17.0, Private,121536.89, Some-college,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, Mexico, <=50K
40.0, Private,12285.0, Assoc-acdm,10.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,46.0, United-States, >50K
36.34554, Local-gov,147487.75, Some-college,12.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, ?, <=50K
22.0, Local-gov,231874.66, Bachelors,13.0, Never-married, Farming-fishing, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,155311.52, HS-grad,9.0, Separated, Sales, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
26.0, Private,203509.8, 11th,9.0, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States, <=50K
48.0, Federal-gov,160890.14, 1st-4th,10.0, Separated, Protective-serv, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
32.0, Private,12285.0, 11th,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
37.0, Private,260016.86, HS-grad,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,20.0, United-States, <=50K
17.0, ?,1490400.0, 12th,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
48.0, State-gov,128417.23, Assoc-voc,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
90.0, Private,185081.77, HS-grad,9.0, Married-civ-spouse, Craft-repair, Wife, White, Male,0.0,0.0,30.0, United-States, <=50K
39.0, Federal-gov,12285.0, Assoc-acdm,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,44.0, United-States, >50K
54.0, Self-emp-not-inc,167348.08, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,99.0, United-States, <=50K
17.0, Private,12285.0, Bachelors,13.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,1.0, United-States, <=50K
33.0, Private,24894.473, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
42.0, Federal-gov,61799.395, Masters,13.0, Divorced, Prof-specialty, Unmarried, White, Male,0.0,0.0,40.0, England, <=50K
23.0, Private,226546.73, Bachelors,13.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
40.0, Private,279396.56, Masters,10.0, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0.0,0.0,40.0, El-Salvador, <=50K
43.0, Private,359733.84, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
47.0, State-gov,172557.16, HS-grad,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,44.0, Japan, >50K
31.0, Local-gov,215490.78, Some-college,10.0, Divorced, Prof-specialty, Unmarried, White, Female,0.0,0.0,50.0, United-States, >50K
18.0, Private,178430.81, 11th,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,44.0, United-States, <=50K
37.0, Private,236451.64, Some-college,9.0, Divorced, Craft-repair, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
40.0, Self-emp-not-inc,144380.05, Bachelors,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
17.0, Private,150148.22, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
41.0, Private,188422.8, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
29.0, Private,40038.336, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
19.0, Private,294370.88, Some-college,13.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,45.0, United-States, <=50K
90.0, Local-gov,94989.695, Bachelors,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
50.0, State-gov,133900.45, HS-grad,10.0, Divorced, Farming-fishing, Not-in-family, Black, Female,0.0,0.0,55.0, ?, <=50K
32.0, ?,159716.81, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K
49.0, Private,202165.69, HS-grad,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,99.0, United-States, <=50K
32.0, Private,61801.92, Some-college,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
21.0, Private,144287.53, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,1.0, United-States, <=50K
33.0, Private,187704.16, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
65.0, Private,46063.242, 10th,7.0, Married-civ-spouse, Craft-repair, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
19.0, Private,200341.3, Some-college,12.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
37.0, Private,35263.605, Some-college,10.0, Never-married, Tech-support, Not-in-family, White, Female,0.0,1887.0,40.0, United-States, <=50K
22.907251, Private,119388.66, Some-college,10.0, Never-married, ?, Own-child, White, Female,0.0,0.0,35.0, United-States, <=50K
49.0, Private,1490400.0, Some-college,13.0, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0.0,0.0,40.0, United-States, >50K
46.0, Private,149219.6, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
57.0, Local-gov,125692.664, Bachelors,12.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K
22.0, Private,119568.0, HS-grad,10.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Private,139759.2, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0.0,0.0,50.0, United-States, <=50K
27.0, ?,285727.88, Assoc-acdm,11.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,1.0, Cuba, <=50K
17.0, Private,51538.707, Some-college,11.0, Never-married, Tech-support, Own-child, White, Female,0.0,0.0,25.0, United-States, <=50K
25.639511, Local-gov,182550.67, Some-college,10.0, Never-married, ?, Own-child, Other, Male,0.0,0.0,20.0, United-States, <=50K
17.0, Private,236769.19, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,30.0, United-States, <=50K
46.0, Private,179579.64, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
41.0, Private,154903.1, HS-grad,10.0, Never-married, Farming-fishing, Not-in-family, White, Male,0.0,0.0,99.0, United-States, <=50K
23.0, Private,216444.6, Assoc-voc,10.0, Never-married, Handlers-cleaners, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
38.0, Private,187870.34, Masters,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,99.0, United-States, >50K
56.0, State-gov,167185.39, Bachelors,10.0, Widowed, Tech-support, Unmarried, White, Female,0.0,0.0,20.0, United-States, >50K
50.0, Private,151109.3, 7th-8th,6.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,20.0, United-States, <=50K
42.0, Private,153819.23, HS-grad,10.0, Married-civ-spouse, Sales, Husband, Black, Male,0.0,0.0,40.0, United-States, >50K
24.0, Private,125999.51, 10th,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
44.0, Private,186389.86, HS-grad,10.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
45.0, Self-emp-not-inc,12285.0, 5th-6th,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, ?, <=50K
90.0, Private,47344.53, HS-grad,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
24.0, Private,111351.45, Bachelors,13.0, Separated, Prof-specialty, Own-child, White, Female,0.0,0.0,40.0, United-States, >50K
35.0, Self-emp-not-inc,155425.97, Bachelors,12.0, Married-civ-spouse, Exec-managerial, Husband, White, Female,0.0,0.0,40.0, United-States, >50K
36.0, Local-gov,206337.55, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
44.0, Private,181102.89, Bachelors,12.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,312878.25, 11th,7.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K
39.0, Self-emp-inc,178295.25, Assoc-acdm,10.0, Divorced, Sales, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,101753.88, Some-college,9.0, Never-married, ?, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
53.0, ?,120970.02, HS-grad,9.0, Widowed, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,12285.0, HS-grad,9.0, Married-civ-spouse, ?, Unmarried, White, Male,0.0,0.0,40.0, Philippines, <=50K
70.0, Self-emp-inc,169473.0, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
22.0, Private,302964.6, HS-grad,9.0, Never-married, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, El-Salvador, <=50K
32.0, Local-gov,151306.2, Masters,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
43.0, Private,220926.53, Some-college,10.0, Never-married, Craft-repair, Wife, White, Female,0.0,0.0,40.0, England, <=50K
28.0, Private,84700.9, Masters,15.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
35.0, Private,195891.75, 10th,7.0, Married-spouse-absent, Sales, Not-in-family, Black, Female,0.0,0.0,35.0, United-States, <=50K
47.0, Federal-gov,243301.48, Some-college,9.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,5.5863867, United-States, <=50K
34.0, Private,1490400.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Private,12285.0, Assoc-acdm,10.0, Never-married, Adm-clerical, Unmarried, White, Female,0.0,0.0,45.0, United-States, <=50K
51.75284, Local-gov,123835.805, Prof-school,11.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
49.0, Self-emp-not-inc,211572.03, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
25.0, Private,12285.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,44.102757, United-States, <=50K
24.0, Private,12285.0, Bachelors,10.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,20.0, United-States, <=50K
39.0, Private,173422.06, Bachelors,14.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, Canada, <=50K
40.0, Private,104403.195, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
41.0, Private,290564.06, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
20.0, Private,95758.16, Bachelors,14.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,15.0, United-States, <=50K
21.0, Private,304679.7, 11th,1.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
43.0, State-gov,52047.668, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
28.0, Private,203842.62, HS-grad,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,196886.25, Some-college,9.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
39.0, Private,55386.938, HS-grad,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,48.0, United-States, <=50K
36.0, Private,248214.02, Some-college,10.0, Never-married, Farming-fishing, Not-in-family, Black, Male,0.0,0.0,99.0, United-States, <=50K
35.0, Self-emp-inc,207444.2, Prof-school,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,4356.0,48.0, United-States, >50K
47.0, Private,137291.06, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
35.0, Private,1490400.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
45.0, ?,168837.92, Assoc-acdm,10.0, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, Dominican-Republic, >50K
36.0, Private,172624.58, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
37.0, Private,116358.59, HS-grad,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
41.0, Private,187024.75, HS-grad,1.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,42.0, United-States, <=50K
48.0, Self-emp-not-inc,61480.082, Bachelors,10.0, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, >50K
40.0, Private,178878.22, Some-college,10.0, Divorced, Exec-managerial, Not-in-family, White, Male,99999.0,0.0,35.0, United-States, <=50K
31.0, Private,144892.64, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
46.59518, Private,133442.0, HS-grad,9.0, Separated, Craft-repair, Wife, White, Male,0.0,0.0,89.76081, India, <=50K
37.0, Private,214645.77, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
54.0, Private,124767.6, HS-grad,10.0, Separated, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
17.0, Private,275307.9, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,1.0, United-States, <=50K
55.0, Federal-gov,215942.05, Assoc-voc,10.0, Married-civ-spouse, Tech-support, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,143455.0, HS-grad,9.0, Never-married, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, Mexico, <=50K
65.0, Self-emp-inc,172306.62, Bachelors,16.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,99999.0,0.0,10.0, United-States, >50K
74.678116, Self-emp-inc,298939.66, Bachelors,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
32.0, Self-emp-not-inc,303837.03, Some-college,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K
28.0, Local-gov,148982.53, Masters,16.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States, >50K
29.0, Private,104364.99, HS-grad,5.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Private,98461.48, Bachelors,11.0, Never-married, ?, Not-in-family, White, Male,0.0,0.0,36.0, United-States, <=50K
37.0, Private,370743.72, HS-grad,9.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,143730.27, Assoc-acdm,10.0, Never-married, Tech-support, Own-child, White, Male,0.0,0.0,15.0, Taiwan, <=50K
17.0, Private,242565.77, Some-college,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,1.0, United-States, <=50K
50.0, Local-gov,228628.19, Bachelors,13.0, Widowed, Prof-specialty, Unmarried, White, Female,0.0,0.0,36.0, United-States, >50K
26.0, Private,149845.62, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
50.0, ?,144060.02, 11th,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,123422.7, Assoc-voc,9.0, Married-spouse-absent, ?, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,190668.17, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,16.0, United-States, >50K
90.0, Private,155327.53, 7th-8th,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
35.0, Private,92026.8, Masters,13.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,45.0, United-States, <=50K
45.0, Private,337096.8, Some-college,10.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
33.0, Private,221240.44, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0.0,0.0,40.0, United-States, >50K
37.0, Private,160727.94, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,12285.0, 11th,9.0, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0.0,0.0,20.581463, Puerto-Rico, <=50K
50.0, Private,160327.27, Assoc-voc,9.0, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, >50K
27.0, State-gov,215210.14, Some-college,10.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,1.0, United-States, <=50K
